ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
3795,0,523,6.699999809265137,12.5,3.390000104904175,13.010000228881836,-97.37499999999983,44.375
3796,0,939,8.199999809265137,12.100000381469727,65.470001220703125,9.1899995803833,-79.62499999999989,38.958333333333336
3797,0,1691,6.199999809265137,16.399999618530273,18.3799991607666,11.520000457763672,-118.87499999999977,42.625
3798,0,276,-5.300000190734863,10.600000381469727,2.0799999237060547,13.569999694824219,-117.12499999999977,62.458333333333336
3799,0,1467,9.5,17.5,8.279999732971191,12.869999885559082,-103.20833333333314,38.958333333333336
3800,0,1718,11,16.799999237060547,7.179999828338623,12.619999885559082,-104.04166666666649,35.958333333333336
3801,0,357,0,12.600000381469727,15.239999771118164,11.789999961853027,-117.12499999999977,57.625
3802,0,164,13.399999618530273,12.100000381469727,12.460000038146973,11.6899995803833,-88.29166666666653,37.54166666666667
3803,0,1346,2,12.199999809265137,112.4000015258789,8.039999961853027,-115.54166666666646,50.29166666666667
3804,0,551,2.200000047683716,11.600000381469727,2.1600000858306885,13.5600004196167,-104.70833333333314,51.125
3805,0,687,3.5,13.899999618530273,15.180000305175781,11.569999694824219,-110.6249999999998,50.875
3806,0,1177,7.400000095367432,15.199999809265137,8.760000228881836,11.970000267028809,-108.8749999999998,46.04166666666667
3807,0,389,-1,11.800000190734863,4.929999828338623,11.9399995803833,-113.95833333333312,57.875
3808,0,816,6.199999809265137,10.399999618530273,133.75999450683594,8.1899995803833,-121.12499999999977,50.29166666666667
3809,0,1012,8.5,15.399999618530273,13.630000114440918,13.539999961853027,-100.95833333333316,41.79166666666667
3810,0,1535,12.199999809265137,18,20.260000228881836,11.3100004196167,-112.70833333333312,34.708333333333336
3811,0,1524,-4.599999904632568,9.199999809265137,125.95999908447266,8,-141.95833333333303,60.708333333333336
3812,0,600,2.700000047683716,12.399999618530273,1.4199999570846558,13.609999656677246,-103.79166666666649,50.04166666666667
3813,0,401,-7.900000095367432,9.399999618530273,6.480000019073486,12.029999732971191,-106.1249999999998,61.625
3814,0,3235,1.600000023841858,11.199999809265137,97.4800033569336,8.550000190734863,-118.29166666666644,36.458333333333336
3815,0,2539,-3.4000000953674316,11,85.45999908447266,8.220000267028809,-123.70833333333309,50.875
3816,0,49,6.599999904632568,11.100000381469727,10.420000076293945,11.720000267028809,-68.29166666666659,44.625
3817,0,530,0.6000000238418579,11.100000381469727,16.239999771118164,11.029999732971191,-73.29166666666657,48.54166666666667
3818,0,833,7.099999904632568,13.899999618530273,69.779998779296875,8.930000305175781,-116.04166666666646,46.708333333333336
3819,0,2458,-3.9000000953674316,10.5,139.63999938964844,7.690000057220459,-116.79166666666644,52.29166666666667
3820,0,1576,-11.100000381469727,10.899999618530273,96.55999755859375,8.079999923706055,-130.62499999999974,65.04166666666667
3821,0,171,-0.699999988079071,12,4.320000171661377,12.960000038146973,-79.54166666666656,50.54166666666667
3822,0,1525,4.300000190734863,16,76.7699966430664,8.40999984741211,-118.70833333333312,44.625
3823,0,142,14.100000381469727,13.399999618530273,8.520000457763672,12.140000343322754,-78.87499999999989,36.54166666666667
3824,0,1001,7.199999809265137,15.699999809265137,11.699999809265137,11.8100004196167,-108.29166666666647,46.79166666666667
3825,0,282,10.600000381469727,11.699999809265137,5.300000190734863,12.520000457763672,-82.79166666666654,39.958333333333336
3826,0,2220,6.099999904632568,16.299999237060547,85.1500015258789,8.949999809265137,-108.04166666666647,39.29166666666667
3827,0,737,2.299999952316284,13.199999809265137,6.360000133514404,12.319999694824219,-114.29166666666646,53.54166666666667
3828,0,348,-2.299999952316284,11.5,8.220000267028809,11.960000038146973,-102.45833333333316,56.04166666666667
3829,0,505,-2,12.199999809265137,35.439998626708984,10.09000015258789,-69.04166666666659,50.54166666666667
3830,0,884,17.600000381469727,16.700000762939453,41.7400016784668,9.899999618530273,-116.45833333333312,34.375
3831,0,716,1.5,12.100000381469727,11.260000228881836,11.09000015258789,-118.45833333333312,54.875
3832,0,896,11.699999809265137,16.100000381469727,2.2899999618530273,13.880000114440918,-100.87499999999983,38.29166666666667
3833,0,67,-0.800000011920929,11.800000190734863,0.5799999833106995,14.619999885559082,-83.04166666666654,51.625
3834,0,301,10.699999809265137,12.399999618530273,20.280000686645508,11.369999885559082,-82.79166666666654,39.375
3835,0,374,-5.599999904632568,12,63.95000076293945,9.239999771118164,-150.20833333333303,65.45833333333333
3836,0,793,5.400000095367432,7.099999904632568,133.7899932861328,7.630000114440918,-126.04166666666642,50.375
3837,0,648,9.399999618530273,12.699999809265137,39.75,9.859999656677246,-118.12499999999977,46.125
3838,0,863,2.299999952316284,12.699999809265137,18.889999389648438,10.760000228881836,-123.37499999999976,53.875
3839,0,218,10.100000381469727,11.600000381469727,1.7799999713897705,13.770000457763672,-86.37499999999987,40.625
3840,0,371,-1,11.600000381469727,8.239999771118164,12.079999923706055,-104.45833333333314,55.208333333333336
3841,0,1224,1.899999976158142,8.199999809265137,156.5399932861328,7.400000095367432,-127.29166666666642,53.29166666666667
3842,0,2154,7.400000095367432,16.299999237060547,52.22999954223633,9.199999809265137,-114.12499999999979,38.208333333333336
3843,0,702,2.4000000953674316,11.300000190734863,2.0799999237060547,13.199999809265137,-113.70833333333312,53.875
3844,0,720,6.900000095367432,12.800000190734863,48.119998931884766,9.260000228881836,-116.87499999999977,48.208333333333336
3845,0,9,13.100000381469727,11.5,1.8899999856948853,13.369999885559082,-75.625,38.625
3846,0,654,0.4000000059604645,12.199999809265137,10.3100004196167,11.819999694824219,-113.45833333333312,55.29166666666667
3847,0,374,-2.799999952316284,10.800000190734863,12.40999984741211,11.220000267028809,-103.20833333333314,56.79166666666667
3848,0,521,-2.200000047683716,10.699999809265137,7.289999961853027,11.9399995803833,-108.45833333333314,57.375
3849,0,59,-1.2000000476837158,11.699999809265137,0.6299999952316284,14.699999809265137,-82.87499999999987,52.04166666666667
3850,0,491,0.6000000238418579,12.399999618530273,4.159999847412109,12.489999771118164,-90.70833333333319,49.208333333333336
3851,0,1298,7.599999904632568,16.200000762939453,20.450000762939453,11.050000190734863,-103.70833333333314,43.458333333333336
3852,0,1201,10.100000381469727,16.299999237060547,2.609999895095825,14.09000015258789,-102.54166666666649,40.208333333333336
3853,0,482,15.899999618530273,13.899999618530273,5.380000114440918,12.899999618530273,-99.2916666666665,34.958333333333336
3854,0,305,0,10.899999618530273,3.569999933242798,13.59000015258789,-95.62499999999984,52.125
3855,0,263,-2.9000000953674316,11.199999809265137,2.5999999046325684,13.34000015258789,-112.3749999999998,59.791666666666664
3856,0,194,-2.299999952316284,10.600000381469727,4.230000019073486,12.920000076293945,-95.20833333333317,54.79166666666667
3857,0,306,2,10.399999618530273,6.800000190734863,12.949999809265137,-95.54166666666652,50.29166666666667
3858,0,439,-2.0999999046325684,10.199999809265137,18.3799991607666,11.65999984741211,-73.45833333333324,51.375
3859,0,212,-4.900000095367432,10.699999809265137,1.190000057220459,13.430000305175781,-117.45833333333312,62.375
3860,0,5,15.899999618530273,14.899999618530273,1.3700000047683716,14.069999694824219,-121.29166666666643,37.958333333333336
3861,0,669,3.200000047683716,12,17.59000015258789,10.90999984741211,-122.04166666666643,54.125
3862,0,1975,5,16.299999237060547,89.93000030517578,7.789999961853027,-118.70833333333312,42.125
3863,0,341,3.5999999046325684,12.699999809265137,1.0499999523162842,14.170000076293945,-96.20833333333317,48.125
3864,0,320,-1.2000000476837158,10.800000190734863,4.670000076293945,12.449999809265137,-93.04166666666652,52.708333333333336
3865,0,371,15.699999809265137,12.300000190734863,6.800000190734863,12.859999656677246,-97.2916666666665,35.458333333333336
3866,0,2464,2.5999999046325684,19.399999618530273,37.18000030517578,10.5,-106.8749999999998,38.54166666666667
3867,0,271,10,11.100000381469727,1.4900000095367432,13.84000015258789,-85.62499999999987,40.29166666666667
3868,0,560,-0.20000000298023224,11.600000381469727,7.300000190734863,12.050000190734863,-108.79166666666647,55.04166666666667
3869,0,8,-2.9000000953674316,10.399999618530273,NA,10.640000343322754,-79.70833333333321,53.458333333333336
3870,0,143,5.099999904632568,10.399999618530273,10.619999885559082,11.710000038146973,-67.04166666666659,45.625
3871,0,667,-1.399999976158142,11.300000190734863,6.690000057220459,12.069999694824219,-119.04166666666644,57.875
3872,0,628,-0.20000000298023224,11.399999618530273,7.110000133514404,12.680000305175781,-103.37499999999983,52.375
3873,0,2281,1.7999999523162842,15.899999618530273,100.25,8.020000457763672,-113.70833333333312,43.54166666666667
3874,0,1591,-10.5,10.399999618530273,112.52999877929688,7.760000228881836,-127.54166666666642,64.29166666666667
3875,0,61,5.099999904632568,11,6.179999828338623,12.239999771118164,-64.95833333333326,46.375
3876,0,513,6.199999809265137,12.600000381469727,4.420000076293945,13.210000038146973,-96.62499999999983,44.208333333333336
3877,0,31,-4,10.300000190734863,0.9200000166893005,13.710000038146973,-84.2083333333332,55.04166666666667
3878,0,149,7.800000190734863,10.5,5.360000133514404,12.859999656677246,-76.125,43.375
3879,0,221,8.5,11.100000381469727,7.449999809265137,13.239999771118164,-85.87499999999987,42.54166666666667
3880,0,1205,0.6000000238418579,13.399999618530273,28.360000610351562,9.65999984741211,-124.20833333333309,53.625
3881,0,31,6.099999904632568,10.899999618530273,6.949999809265137,11.720000267028809,-67.45833333333326,44.875
3882,0,1804,8.399999618530273,16.100000381469727,52.25,9.829999923706055,-116.70833333333312,40.125
3883,0,1062,16.399999618530273,18.700000762939453,42.869998931884766,10.0600004196167,-111.8749999999998,34.54166666666667
3884,0,439,3.9000000953674316,12.5,4.840000152587891,12.770000457763672,-90.95833333333319,46.125
3885,0,930,7,14.5,6.260000228881836,12.369999885559082,-103.37499999999983,44.958333333333336
3886,0,1173,0.5,10.699999809265137,71.8499984741211,8.649999618530273,-121.29166666666643,55.29166666666667
3887,0,1343,-9.300000190734863,10.800000190734863,109.62999725341797,7.949999809265137,-133.7916666666664,65.29166666666667
3888,0,314,-1.5,10.5,7.440000057220459,12.050000190734863,-75.20833333333323,51.208333333333336
3889,0,10,14.399999618530273,12.800000190734863,17.420000076293945,12.390000343322754,-122.45833333333309,38.125
3890,0,176,8.800000190734863,9.100000381469727,0.6200000047683716,15.09000015258789,-87.12499999999987,42.708333333333336
3891,0,2311,8,17,28.639999389648438,10.270000457763672,-108.29166666666647,35.458333333333336
3892,0,707,0.8999999761581421,10.399999618530273,7.789999961853027,11.789999961853027,-120.87499999999977,56.625
3893,0,442,2.5999999046325684,7.400000095367432,54.40999984741211,9.210000038146973,-57.958333333333286,48.708333333333336
3894,0,422,7.099999904632568,13.699999809265137,1.6699999570846558,13.699999809265137,-98.7916666666665,44.625
3895,0,1046,10.800000190734863,15.800000190734863,4.119999885559082,13.760000228881836,-101.37499999999983,39.208333333333336
3896,0,388,-7.300000190734863,9.5,4.849999904632568,12.5600004196167,-106.79166666666647,61.458333333333336
3897,0,496,-0.8999999761581421,11.600000381469727,11.760000228881836,12.079999923706055,-110.29166666666646,56.79166666666667
3898,0,30,6.099999904632568,7.099999904632568,13.949999809265137,11.180000305175781,-66.29166666666659,44.29166666666667
3899,0,550,-0.4000000059604645,10.199999809265137,128.3300018310547,7.489999771118164,-144.29166666666637,61.041666666666664
3900,0,268,-4.599999904632568,10.399999618530273,5.75,12.40999984741211,-98.62499999999983,57.458333333333336
3901,0,1164,5.5,14.100000381469727,9.140000343322754,12.539999961853027,-112.20833333333313,48.29166666666667
3902,0,1022,10.399999618530273,16,9.319999694824219,13.789999961853027,-101.62499999999983,39.875
3903,0,482,-4.900000095367432,9.600000381469727,3.75,12.569999694824219,-65.375,54.958333333333336
3904,0,211,-5.5,8.399999618530273,17.520000457763672,11.359999656677246,-76.625,55.875
3905,0,286,4.099999904632568,11.5,23.65999984741211,10.930000305175781,-87.9583333333332,46.875
3906,0,2687,5.5,14.899999618530273,40.790000915527344,9.670000076293945,-108.8749999999998,36.04166666666667
3907,0,268,-8.300000190734863,9.600000381469727,1.350000023841858,12.8100004196167,-97.70833333333317,59.625
3908,0,250,1.100000023841858,12,1.659999966621399,14.329999923706055,-98.62499999999983,51.04166666666667
3909,0,508,-3.5999999046325684,11.399999618530273,2.5,13.079999923706055,-65.2916666666666,52.708333333333336
3910,0,1486,2.4000000953674316,11.100000381469727,50.91999816894531,9.289999961853027,-120.37499999999977,49.79166666666667
3911,0,1309,-1.600000023841858,11.100000381469727,117.61000061035156,7.449999809265137,-125.62499999999976,56.375
3912,0,1193,16.5,13.100000381469727,28.770000457763672,9.880000114440918,-115.45833333333312,35.29166666666667
